Record_ID,NCBI_GeneID,Gene_Symbol,Chromosome,Gene_Type,Sample_ID,Tissue,Condition,Expression_Level,Expression_Log2,Fold_Change,Significance_PValue,Expression_Category
18,23,ABCF1,,NCBI-derived gene type,S0018,Colon,Treatment,254.23,7.99,1.191,0.2525088,Medium
19,24,ABCA4,,NCBI-derived gene type,S0019,Breast,Treatment,1474.23,10.526,2.269,6.37e-05,High
20,25,ABL1,,NCBI-derived gene type,S0020,Skin,Treatment,631.66,9.303,0.865,0.0006074,High
21,26,AOC1,,NCBI-derived gene type,S0021,Brain,Control,989.58,9.951,1.098,0.0041463,High
22,27,ABL2,,NCBI-derived gene type,S0022,Liver,Control,686.19,9.422,1.24,0.0443813,High
23,28,ABO,,NCBI-derived gene type,S0023,Heart,Control,232.9,7.864,0.672,0.0003038,Medium
24,29,ABR,,NCBI-derived gene type,S0024,Lung,Control,271.4,8.084,0.798,0.270194,Medium
25,30,ACAA1,,NCBI-derived gene type,S0025,Kidney,Control,876.99,9.776,0.87,0.0120382,High
26,31,ACACA,,NCBI-derived gene type,S0026,Muscle,Control,398.65,8.639,1.29,0.0014342,Medium
27,32,ACACB,,NCBI-derived gene type,S0027,Blood,Control,268.56,8.069,0.823,0.0043494,Medium
28,33,ACADL,,NCBI-derived gene type,S0028,Colon,Control,266.43,8.058,1.059,0.1658699,Medium
29,34,ACADM,,NCBI-derived gene type,S0029,Breast,Control,402.4,8.652,0.804,0.4880078,Medium
30,35,ACADS,,NCBI-derived gene type,S0030,Skin,Control,511.98,9.0,0.714,1.67e-05,High
31,36,ACADSB,,NCBI-derived gene type,S0031,Brain,Treatment,265.45,8.052,2.326,0.0528169,Medium
32,37,ACADVL,,NCBI-derived gene type,S0032,Liver,Treatment,233.82,7.869,0.55,0.0006217,Medium
33,38,ACAT1,,NCBI-derived gene type,S0033,Heart,Treatment,2008.93,10.972,2.017,0.3664953,High
34,39,ACAT2,,NCBI-derived gene type,S0034,Lung,Treatment,332.67,8.378,0.386,0.0244002,Medium
35,40,ASIC2,,NCBI-derived gene type,S0035,Kidney,Treatment,1394.93,10.446,2.041,0.0001795,High
36,41,ASIC1,,NCBI-derived gene type,S0036,Muscle,Treatment,450.82,8.816,0.701,0.0011051,Medium
37,43,ACHE,,NCBI-derived gene type,S0037,Blood,Treatment,1531.19,10.58,3.355,0.1307702,High
38,46,ACLS,,NCBI-derived gene type,S0038,Colon,Treatment,514.61,9.007,1.927,6.91e-05,High
39,47,ACLY,,NCBI-derived gene type,S0039,Breast,Treatment,2823.32,11.463,3.092,0.0002527,High
40,48,ACO1,,NCBI-derived gene type,S0040,Skin,Treatment,1453.4,10.505,2.268,5.23e-05,High
41,49,ACR,,NCBI-derived gene type,S0041,Brain,Control,763.7,9.577,1.028,0.0456609,High
42,50,ACO2,,NCBI-derived gene type,S0042,Liver,Control,532.7,9.057,0.65,0.0003338,High
43,51,ACOX1,,NCBI-derived gene type,S0043,Heart,Control,24.38,4.608,1.3,0.1348941,Low
44,52,ACP1,,NCBI-derived gene type,S0044,Lung,Control,832.51,9.701,0.865,1.87e-05,High
45,53,ACP2,,NCBI-derived gene type,S0045,Kidney,Control,878.62,9.779,1.313,2.53e-05,High
46,54,ACP5,,NCBI-derived gene type,S0046,Muscle,Control,488.56,8.932,0.698,0.037569,Medium
47,55,ACPP,,NCBI-derived gene type,S0047,Blood,Control,767.01,9.583,0.74,0.0017133,High
48,56,ACRV1,,NCBI-derived gene type,S0048,Colon,Control,552.05,9.109,0.836,0.1260188,High
49,58,ACTA1,,NCBI-derived gene type,S0049,Breast,Control,426.02,8.735,0.798,0.0034252,Medium
50,59,ACTA2,,NCBI-derived gene type,S0050,Skin,Control,731.28,9.514,0.791,0.0002918,High
51,60,ACTB,,NCBI-derived gene type,S0051,Brain,Treatment,2385.55,11.22,2.397,0.0011457,High
52,62,ACTBP2,,NCBI-derived gene type,S0052,Liver,Treatment,380.2,8.571,0.731,0.0001138,Medium
53,63,ACTBP3,,NCBI-derived gene type,S0053,Heart,Treatment,752.15,9.555,2.203,0.0001207,High
54,64,ACTBP4,,NCBI-derived gene type,S0054,Lung,Treatment,128.56,7.006,0.574,0.0092509,Medium
55,66,ACTBP6,,NCBI-derived gene type,S0055,Kidney,Treatment,745.43,9.542,3.202,0.1097201,High
56,67,ACTBP7,,NCBI-derived gene type,S0056,Muscle,Treatment,83.03,6.376,1.1,0.0139378,Low
57,68,ACTBP8,,NCBI-derived gene type,S0057,Blood,Treatment,167.29,7.386,0.767,0.2494118,Medium
58,69,ACTBP9,,NCBI-derived gene type,S0058,Colon,Treatment,1054.04,10.042,1.839,0.0487205,High
59,70,ACTC1,,NCBI-derived gene type,S0059,Breast,Treatment,767.87,9.585,0.95,2.85e-05,High
60,71,ACTG1,,NCBI-derived gene type,S0060,Skin,Treatment,730.8,9.513,1.684,0.0015668,High
61,72,ACTG2,,NCBI-derived gene type,S0061,Brain,Control,730.43,9.513,1.121,0.4222566,High
62,73,ACTG1P1,,NCBI-derived gene type,S0062,Liver,Control,102.93,6.685,0.932,0.0003933,Medium
63,74,ACTG1P2,,NCBI-derived gene type,S0063,Heart,Control,862.36,9.752,0.824,7.83e-05,High
64,75,ACTG1P3,,NCBI-derived gene type,S0064,Lung,Control,451.37,8.818,0.945,0.0002038,Medium
65,78,ACTG1P6,,NCBI-derived gene type,S0065,Kidney,Control,253.56,7.986,1.296,0.0012098,Medium
66,79,ACTG1P7,,NCBI-derived gene type,S0066,Muscle,Control,862.04,9.752,1.035,1.73e-05,High
67,80,ACTG1P8,,NCBI-derived gene type,S0067,Blood,Control,999.29,9.965,1.235,0.3583294,High
68,81,ACTN4,,NCBI-derived gene type,S0068,Colon,Control,926.74,9.856,1.244,6.05e-05,High
69,86,ACTL6A,,NCBI-derived gene type,S0069,Breast,Control,488.21,8.931,0.8,0.0007672,Medium
70,87,ACTN1,,NCBI-derived gene type,S0070,Skin,Control,63.34,5.985,0.915,0.4275152,Low
71,88,ACTN2,,NCBI-derived gene type,S0071,Brain,Treatment,758.19,9.566,2.82,0.0013757,High
72,89,ACTN3,,NCBI-derived gene type,S0072,Liver,Treatment,1433.36,10.485,3.366,0.4769651,High
73,90,ACVR1,,NCBI-derived gene type,S0073,Heart,Treatment,1458.02,10.51,2.613,5.34e-05,High
74,91,ACVR1B,,NCBI-derived gene type,S0074,Lung,Treatment,1021.19,9.996,3.401,0.0052741,High
75,92,ACVR2A,,NCBI-derived gene type,S0075,Kidney,Treatment,1473.44,10.525,2.706,1.86e-05,High
76,93,ACVR2B,,NCBI-derived gene type,S0076,Muscle,Treatment,1133.81,10.147,1.934,0.1018084,High
77,94,ACVRL1,,NCBI-derived gene type,S0077,Blood,Treatment,545.79,9.092,3.376,2.38e-05,High
78,95,ACY1,,NCBI-derived gene type,S0078,Colon,Treatment,422.4,8.722,2.224,0.0149107,Medium
79,97,ACYP1,,NCBI-derived gene type,S0079,Breast,Treatment,173.93,7.442,0.728,0.1528799,Medium
80,98,ACYP2,,NCBI-derived gene type,S0080,Skin,Treatment,555.65,9.118,2.223,0.0081488,High
81,100,ADA,,NCBI-derived gene type,S0081,Brain,Control,422.13,8.722,1.059,0.0028647,Medium
82,101,ADAM8,,NCBI-derived gene type,S0082,Liver,Control,935.03,9.869,0.793,0.0232328,High
83,102,ADAM10,,NCBI-derived gene type,S0083,Heart,Control,242.49,7.922,0.927,0.014353,Medium
84,103,ADAR,,NCBI-derived gene type,S0084,Lung,Control,303.5,8.246,0.871,0.0341793,Medium
85,104,ADARB1,,NCBI-derived gene type,S0085,Kidney,Control,77.18,6.27,0.971,0.492874,Low
86,105,ADARB2,,NCBI-derived gene type,S0086,Muscle,Control,996.12,9.96,0.701,0.0001004,High
87,106,ADCP1,,NCBI-derived gene type,S0087,Blood,Control,268.87,8.071,1.303,0.138058,Medium
88,107,ADCY1,,NCBI-derived gene type,S0088,Colon,Control,879.87,9.781,0.909,5.51e-05,High
89,108,ADCY2,,NCBI-derived gene type,S0089,Breast,Control,834.58,9.705,1.142,0.007497,High
90,109,ADCY3,,NCBI-derived gene type,S0090,Skin,Control,987.3,9.947,1.108,1.09e-05,High
91,111,ADCY5,,NCBI-derived gene type,S0091,Brain,Treatment,1057.73,10.047,1.293,0.0131198,High
92,112,ADCY6,,NCBI-derived gene type,S0092,Liver,Treatment,726.04,9.504,0.773,3.49e-05,High
93,113,ADCY7,,NCBI-derived gene type,S0093,Heart,Treatment,233.33,7.866,2.093,0.0001906,Medium
94,114,ADCY8,,NCBI-derived gene type,S0094,Lung,Treatment,1584.05,10.629,2.61,9.06e-05,High
95,115,ADCY9,,NCBI-derived gene type,S0095,Kidney,Treatment,751.54,9.554,1.182,0.0019774,High
96,116,ADCYAP1,,NCBI-derived gene type,S0096,Muscle,Treatment,2731.22,11.415,3.015,2.72e-05,High
97,117,ADCYAP1R1,,NCBI-derived gene type,S0097,Blood,Treatment,520.94,9.025,1.222,1.04e-05,High
98,118,ADD1,,NCBI-derived gene type,S0098,Colon,Treatment,1820.15,10.83,2.357,0.0001703,High
99,119,ADD2,,NCBI-derived gene type,S0099,Breast,Treatment,1550.24,10.598,2.088,0.0010236,High
100,120,ADD3,,NCBI-derived gene type,S0100,Skin,Treatment,8.58,3.101,0.587,0.1414491,Low
101,122,ADFN,,NCBI-derived gene type,S0101,Brain,Control,904.41,9.821,1.032,0.0836752,High
102,123,PLIN2,,NCBI-derived gene type,S0102,Liver,Control,584.6,9.191,0.754,3.97e-05,High
103,124,ADH1A,,NCBI-derived gene type,S0103,Heart,Control,311.72,8.284,1.279,0.0551791,Medium
104,125,ADH1B,,NCBI-derived gene type,S0104,Lung,Control,861.4,9.751,1.279,9.71e-05,High
105,126,ADH1C,,NCBI-derived gene type,S0105,Kidney,Control,253.28,7.985,0.722,0.046403,Medium
106,127,ADH4,,NCBI-derived gene type,S0106,Muscle,Control,884.71,9.789,0.934,0.0082625,High
107,128,ADH5,,NCBI-derived gene type,S0107,Blood,Control,158.78,7.311,1.301,0.1157835,Medium
108,1,A1BG,,NCBI-derived gene type,S0108,Colon,Control,976.33,9.931,1.218,0.1388853,High
109,2,A2M,,NCBI-derived gene type,S0109,Breast,Control,29.66,4.891,1.166,0.0003641,Low
110,3,A2MP1,,NCBI-derived gene type,S0110,Skin,Control,931.16,9.863,1.212,0.1151068,High
111,9,NAT1,,NCBI-derived gene type,S0111,Brain,Treatment,966.27,9.916,1.19,0.050195,High
112,10,NAT2,,NCBI-derived gene type,S0112,Liver,Treatment,348.62,8.446,3.097,0.1084896,Medium
113,11,NATP,,NCBI-derived gene type,S0113,Heart,Treatment,661.37,9.369,2.922,0.0014569,High
114,12,SERPINA3,,NCBI-derived gene type,S0114,Lung,Treatment,881.34,9.784,2.855,0.0001174,High
115,13,AADAC,,NCBI-derived gene type,S0115,Kidney,Treatment,27.36,4.774,0.958,0.000349,Low
116,14,AAMP,,NCBI-derived gene type,S0116,Muscle,Treatment,2937.39,11.52,3.396,0.0002051,High
117,15,AANAT,,NCBI-derived gene type,S0117,Blood,Treatment,1035.02,10.015,1.609,0.408699,High
118,16,AARS,,NCBI-derived gene type,S0118,Colon,Treatment,1781.79,10.799,3.309,3.48e-05,High
119,17,AAVS1,,NCBI-derived gene type,S0119,Breast,Treatment,885.61,9.791,0.912,0.3341268,High
120,18,ABAT,,NCBI-derived gene type,S0120,Skin,Treatment,186.1,7.54,0.691,0.0011027,Medium
121,19,ABCA1,,NCBI-derived gene type,S0121,Brain,Control,729.9,9.512,0.87,0.0070661,High
122,20,ABCA2,,NCBI-derived gene type,S0122,Liver,Control,513.87,9.005,0.92,0.0051282,High
123,21,ABCA3,,NCBI-derived gene type,S0123,Heart,Control,258.45,8.014,1.146,1.02e-05,Medium
124,22,ABCB7,,NCBI-derived gene type,S0124,Lung,Control,925.95,9.855,1.027,0.0240614,High
125,23,ABCF1,,NCBI-derived gene type,S0125,Kidney,Control,743.24,9.538,1.119,0.000515,High
126,24,ABCA4,,NCBI-derived gene type,S0126,Muscle,Control,74.62,6.222,1.115,0.0003564,Low
127,25,ABL1,,NCBI-derived gene type,S0127,Blood,Control,317.35,8.31,1.244,0.024146,Medium
128,26,AOC1,,NCBI-derived gene type,S0128,Colon,Control,303.82,8.247,0.866,0.0008307,Medium
129,27,ABL2,,NCBI-derived gene type,S0129,Breast,Control,405.39,8.663,0.857,3.97e-05,Medium
130,28,ABO,,NCBI-derived gene type,S0130,Skin,Control,423.34,8.726,1.308,0.0152544,Medium
131,29,ABR,,NCBI-derived gene type,S0131,Brain,Treatment,2067.52,11.014,2.289,0.0002597,High
132,30,ACAA1,,NCBI-derived gene type,S0132,Liver,Treatment,193.27,7.594,0.351,0.0002231,Medium
133,31,ACACA,,NCBI-derived gene type,S0133,Heart,Treatment,942.05,9.88,2.177,0.0119431,High
134,32,ACACB,,NCBI-derived gene type,S0134,Lung,Treatment,815.05,9.671,1.743,0.000101,High
135,33,ACADL,,NCBI-derived gene type,S0135,Kidney,Treatment,1517.26,10.567,3.189,0.0551209,High
136,34,ACADM,,NCBI-derived gene type,S0136,Muscle,Treatment,107.28,6.745,0.617,0.0026462,Medium
137,35,ACADS,,NCBI-derived gene type,S0137,Blood,Treatment,892.4,9.802,1.406,0.0702409,High
138,36,ACADSB,,NCBI-derived gene type,S0138,Colon,Treatment,1857.86,10.859,2.469,0.0001137,High
139,37,ACADVL,,NCBI-derived gene type,S0139,Breast,Treatment,86.73,6.438,0.427,0.0001415,Low
140,38,ACAT1,,NCBI-derived gene type,S0140,Skin,Treatment,1446.03,10.498,3.027,2.2e-05,High
141,39,ACAT2,,NCBI-derived gene type,S0141,Brain,Control,417.37,8.705,1.091,8.2e-05,Medium
142,40,ASIC2,,NCBI-derived gene type,S0142,Liver,Control,697.87,9.447,0.996,0.0001402,High
143,41,ASIC1,,NCBI-derived gene type,S0143,Heart,Control,657.78,9.361,0.654,0.033848,High
144,43,ACHE,,NCBI-derived gene type,S0144,Lung,Control,771.2,9.591,0.725,0.0009958,High
145,46,ACLS,,NCBI-derived gene type,S0145,Kidney,Control,180.01,7.492,1.321,0.002719,Medium
146,47,ACLY,,NCBI-derived gene type,S0146,Muscle,Control,54.97,5.781,0.824,0.0970914,Low
147,48,ACO1,,NCBI-derived gene type,S0147,Blood,Control,459.18,8.843,1.211,0.0137283,Medium
148,49,ACR,,NCBI-derived gene type,S0148,Colon,Control,987.95,9.948,1.067,0.2918678,High
149,50,ACO2,,NCBI-derived gene type,S0149,Breast,Control,891.97,9.801,1.079,0.0240208,High
150,51,ACOX1,,NCBI-derived gene type,S0150,Skin,Control,507.25,8.987,1.231,0.0037584,High
151,52,ACP1,,NCBI-derived gene type,S0151,Brain,Treatment,2417.13,11.239,2.693,0.001702,High
152,53,ACP2,,NCBI-derived gene type,S0152,Liver,Treatment,296.76,8.213,1.129,0.0099314,Medium
153,54,ACP5,,NCBI-derived gene type,S0153,Heart,Treatment,1527.91,10.577,1.992,0.0088251,High
154,55,ACPP,,NCBI-derived gene type,S0154,Lung,Treatment,165.29,7.369,0.594,0.0002203,Medium
155,56,ACRV1,,NCBI-derived gene type,S0155,Kidney,Treatment,373.68,8.546,1.357,0.0034571,Medium
156,58,ACTA1,,NCBI-derived gene type,S0156,Muscle,Treatment,153.88,7.266,1.078,0.0182627,Medium
157,59,ACTA2,,NCBI-derived gene type,S0157,Blood,Treatment,390.98,8.611,0.552,0.0008236,Medium
158,60,ACTB,,NCBI-derived gene type,S0158,Colon,Treatment,904.36,9.821,1.66,9.38e-05,High
159,62,ACTBP2,,NCBI-derived gene type,S0159,Breast,Treatment,1353.84,10.403,3.2,0.0055613,High
160,63,ACTBP3,,NCBI-derived gene type,S0160,Skin,Treatment,2125.09,11.053,3.049,0.0396547,High
161,64,ACTBP4,,NCBI-derived gene type,S0161,Brain,Control,383.48,8.583,0.654,0.0004501,Medium
162,66,ACTBP6,,NCBI-derived gene type,S0162,Liver,Control,754.71,9.56,1.247,0.3027768,High
163,67,ACTBP7,,NCBI-derived gene type,S0163,Heart,Control,421.93,8.721,1.173,0.0036883,Medium
164,68,ACTBP8,,NCBI-derived gene type,S0164,Lung,Control,605.24,9.241,0.804,0.0001075,High
165,69,ACTBP9,,NCBI-derived gene type,S0165,Kidney,Control,438.66,8.777,0.67,0.00038,Medium
166,70,ACTC1,,NCBI-derived gene type,S0166,Muscle,Control,680.75,9.411,0.933,5.97e-05,High
167,71,ACTG1,,NCBI-derived gene type,S0167,Blood,Control,470.05,8.877,0.739,0.0084064,Medium
168,72,ACTG2,,NCBI-derived gene type,S0168,Colon,Control,31.83,4.992,0.926,0.0044941,Low
169,73,ACTG1P1,,NCBI-derived gene type,S0169,Breast,Control,31.97,4.998,1.1,4.34e-05,Low
170,74,ACTG1P2,,NCBI-derived gene type,S0170,Skin,Control,464.39,8.859,0.685,0.000605,Medium
171,75,ACTG1P3,,NCBI-derived gene type,S0171,Brain,Treatment,297.44,8.216,1.38,0.0378251,Medium
172,78,ACTG1P6,,NCBI-derived gene type,S0172,Liver,Treatment,1039.22,10.021,2.719,0.0812913,High
173,79,ACTG1P7,,NCBI-derived gene type,S0173,Heart,Treatment,155.66,7.282,0.608,1.23e-05,Medium
174,80,ACTG1P8,,NCBI-derived gene type,S0174,Lung,Treatment,1895.87,10.889,3.5,0.0004414,High
175,81,ACTN4,,NCBI-derived gene type,S0175,Kidney,Treatment,1832.4,10.84,2.811,0.0115677,High
176,86,ACTL6A,,NCBI-derived gene type,S0176,Muscle,Treatment,2524.21,11.302,3.341,8.65e-05,High
177,87,ACTN1,,NCBI-derived gene type,S0177,Blood,Treatment,20.98,4.391,0.83,3.92e-05,Low
178,88,ACTN2,,NCBI-derived gene type,S0178,Colon,Treatment,1427.12,10.479,2.127,0.0001058,High
179,89,ACTN3,,NCBI-derived gene type,S0179,Breast,Treatment,1938.69,10.921,2.766,6.15e-05,High
180,90,ACVR1,,NCBI-derived gene type,S0180,Skin,Treatment,1648.5,10.687,2.706,3.45e-05,High
181,91,ACVR1B,,NCBI-derived gene type,S0181,Brain,Control,820.2,9.68,1.325,3.22e-05,High
182,92,ACVR2A,,NCBI-derived gene type,S0182,Liver,Control,30.55,4.933,0.868,0.0152592,Low
183,93,ACVR2B,,NCBI-derived gene type,S0183,Heart,Control,958.38,9.904,0.928,0.0229387,High
184,94,ACVRL1,,NCBI-derived gene type,S0184,Lung,Control,80.62,6.333,1.133,0.0088724,Low
185,95,ACY1,,NCBI-derived gene type,S0185,Kidney,Control,106.39,6.733,1.191,0.0991695,Medium
186,97,ACYP1,,NCBI-derived gene type,S0186,Muscle,Control,602.41,9.235,0.735,0.4207929,High
187,98,ACYP2,,NCBI-derived gene type,S0187,Blood,Control,783.72,9.614,0.893,0.0010313,High
188,100,ADA,,NCBI-derived gene type,S0188,Colon,Control,373.72,8.546,1.004,0.0004016,Medium
189,101,ADAM8,,NCBI-derived gene type,S0189,Breast,Control,850.33,9.732,1.226,3.13e-05,High
190,102,ADAM10,,NCBI-derived gene type,S0190,Skin,Control,960.98,9.908,1.095,0.0785099,High
191,103,ADAR,,NCBI-derived gene type,S0191,Brain,Treatment,1220.35,10.253,1.722,0.0281085,High
192,104,ADARB1,,NCBI-derived gene type,S0192,Liver,Treatment,1159.51,10.179,1.201,0.0628834,High
193,105,ADARB2,,NCBI-derived gene type,S0193,Heart,Treatment,1012.33,9.983,1.873,0.0011148,High
194,106,ADCP1,,NCBI-derived gene type,S0194,Lung,Treatment,875.51,9.774,1.195,0.1007052,High
195,107,ADCY1,,NCBI-derived gene type,S0195,Kidney,Treatment,518.06,9.017,0.623,0.1392088,High
196,108,ADCY2,,NCBI-derived gene type,S0196,Muscle,Treatment,449.18,8.811,1.814,0.0073885,Medium
197,109,ADCY3,,NCBI-derived gene type,S0197,Blood,Treatment,168.28,7.395,0.44,0.09988,Medium
198,111,ADCY5,,NCBI-derived gene type,S0198,Colon,Treatment,189.31,7.565,1.018,0.0562098,Medium
199,112,ADCY6,,NCBI-derived gene type,S0199,Breast,Treatment,1073.18,10.068,3.123,0.0197498,High
200,113,ADCY7,,NCBI-derived gene type,S0200,Skin,Treatment,106.91,6.74,0.382,0.2856894,Medium
201,114,ADCY8,,NCBI-derived gene type,S0201,Brain,Control,90.18,6.495,1.154,0.0019784,Low
202,115,ADCY9,,NCBI-derived gene type,S0202,Liver,Control,759.37,9.569,1.133,0.0108578,High
203,116,ADCYAP1,,NCBI-derived gene type,S0203,Heart,Control,493.37,8.947,1.205,2.74e-05,Medium
204,117,ADCYAP1R1,,NCBI-derived gene type,S0204,Lung,Control,225.49,7.817,1.134,0.0002749,Medium
205,118,ADD1,,NCBI-derived gene type,S0205,Kidney,Control,583.65,9.189,0.981,0.0031285,High
206,119,ADD2,,NCBI-derived gene type,S0206,Muscle,Control,428.38,8.743,1.172,0.0003587,Medium
207,120,ADD3,,NCBI-derived gene type,S0207,Blood,Control,704.34,9.46,0.84,0.0001519,High
208,122,ADFN,,NCBI-derived gene type,S0208,Colon,Control,125.05,6.966,0.785,3.65e-05,Medium
209,123,PLIN2,,NCBI-derived gene type,S0209,Breast,Control,538.18,9.072,1.184,7.42e-05,High
210,124,ADH1A,,NCBI-derived gene type,S0210,Skin,Control,220.3,7.783,0.989,0.0254419,Medium
211,125,ADH1B,,NCBI-derived gene type,S0211,Brain,Treatment,1955.99,10.934,2.003,0.0002138,High
212,126,ADH1C,,NCBI-derived gene type,S0212,Liver,Treatment,100.98,6.658,0.961,0.0001173,Medium
213,127,ADH4,,NCBI-derived gene type,S0213,Heart,Treatment,72.42,6.178,0.395,0.0032392,Low
214,128,ADH5,,NCBI-derived gene type,S0214,Lung,Treatment,950.28,9.892,3.419,0.0039883,High
215,1,A1BG,,NCBI-derived gene type,S0215,Kidney,Treatment,522.65,9.03,0.748,0.1207168,High
216,2,A2M,,NCBI-derived gene type,S0216,Muscle,Treatment,1529.16,10.579,3.099,0.00499,High
217,3,A2MP1,,NCBI-derived gene type,S0217,Blood,Treatment,820.18,9.68,1.737,7.35e-05,High
218,9,NAT1,,NCBI-derived gene type,S0218,Colon,Treatment,186.0,7.539,3.314,0.0017592,Medium
219,10,NAT2,,NCBI-derived gene type,S0219,Breast,Treatment,1326.87,10.374,1.612,2.23e-05,High
220,11,NATP,,NCBI-derived gene type,S0220,Skin,Treatment,327.56,8.356,0.519,5.03e-05,Medium
221,12,SERPINA3,,NCBI-derived gene type,S0221,Brain,Control,565.03,9.142,0.863,0.4692618,High
222,13,AADAC,,NCBI-derived gene type,S0222,Liver,Control,122.86,6.941,1.185,0.0070745,Medium
223,14,AAMP,,NCBI-derived gene type,S0223,Heart,Control,791.79,9.629,0.808,0.0028582,High
224,15,AANAT,,NCBI-derived gene type,S0224,Lung,Control,453.26,8.824,0.96,0.1103528,Medium
225,16,AARS,,NCBI-derived gene type,S0225,Kidney,Control,990.08,9.951,0.864,0.0082952,High
226,17,AAVS1,,NCBI-derived gene type,S0226,Muscle,Control,611.58,9.256,1.168,0.2842326,High
227,18,ABAT,,NCBI-derived gene type,S0227,Blood,Control,211.75,7.726,0.798,0.0127061,Medium
228,19,ABCA1,,NCBI-derived gene type,S0228,Colon,Control,161.27,7.333,0.772,2.25e-05,Medium
229,20,ABCA2,,NCBI-derived gene type,S0229,Breast,Control,7.66,2.938,0.965,0.0061789,Low
230,21,ABCA3,,NCBI-derived gene type,S0230,Skin,Control,294.8,8.204,0.812,0.0210229,Medium
231,22,ABCB7,,NCBI-derived gene type,S0231,Brain,Treatment,1254.1,10.292,1.78,0.0170102,High
232,23,ABCF1,,NCBI-derived gene type,S0232,Liver,Treatment,2617.28,11.354,2.832,0.0086651,High
233,24,ABCA4,,NCBI-derived gene type,S0233,Heart,Treatment,2181.57,11.091,3.291,0.0009958,High
234,25,ABL1,,NCBI-derived gene type,S0234,Lung,Treatment,1306.97,10.352,2.39,0.1860089,High
235,26,AOC1,,NCBI-derived gene type,S0235,Kidney,Treatment,475.76,8.894,0.575,6.02e-05,Medium
236,27,ABL2,,NCBI-derived gene type,S0236,Muscle,Treatment,842.77,9.719,2.709,0.0047345,High
237,28,ABO,,NCBI-derived gene type,S0237,Blood,Treatment,216.7,7.76,0.742,0.0172499,Medium
238,29,ABR,,NCBI-derived gene type,S0238,Colon,Treatment,2327.7,11.185,3.319,0.0022502,High
239,30,ACAA1,,NCBI-derived gene type,S0239,Breast,Treatment,299.48,8.226,0.603,1.54e-05,Medium
240,31,ACACA,,NCBI-derived gene type,S0240,Skin,Treatment,593.73,9.214,1.365,0.0001502,High
241,32,ACACB,,NCBI-derived gene type,S0241,Brain,Control,95.87,6.583,1.323,0.0849191,Low
242,33,ACADL,,NCBI-derived gene type,S0242,Liver,Control,577.32,9.173,1.316,0.4988734,High
243,34,ACADM,,NCBI-derived gene type,S0243,Heart,Control,673.92,9.396,0.839,1.55e-05,High
244,35,ACADS,,NCBI-derived gene type,S0244,Lung,Control,757.49,9.565,0.979,0.011537,High
245,36,ACADSB,,NCBI-derived gene type,S0245,Kidney,Control,916.49,9.84,0.777,0.005637,High
246,37,ACADVL,,NCBI-derived gene type,S0246,Muscle,Control,636.61,9.314,0.994,2.68e-05,High
247,38,ACAT1,,NCBI-derived gene type,S0247,Blood,Control,351.22,8.456,0.883,0.0141133,Medium
248,39,ACAT2,,NCBI-derived gene type,S0248,Colon,Control,858.44,9.746,0.881,0.0182082,High
249,40,ASIC2,,NCBI-derived gene type,S0249,Breast,Control,291.78,8.189,1.312,0.0666439,Medium
250,41,ASIC1,,NCBI-derived gene type,S0250,Skin,Control,552.35,9.109,0.968,0.0003008,High
251,43,ACHE,,NCBI-derived gene type,S0251,Brain,Treatment,1112.62,10.12,3.406,0.0007936,High
